name;zone;lines;is_railstation;latitude;longitude;linked_station;linked_lines
Leicester Square;1.0;Northern,Piccadilly;FALSE;51.5113;-0.1281;;
Latimer Road;2.0;Circle,Hammersmith & City;FALSE;51.5139;-0.2172;;
Leyton;3.0;Central;FALSE;51.5566;-0.0053;;
Lewisham;2.5;DLR;TRUE;51.4657;-0.0142;;
Limehouse;2.0;DLR;TRUE;51.5123;-0.0396;;
Leytonstone;3.5;Central;FALSE;51.5683;0.0083;;
London Bridge;1.0;Jubilee,Northern;TRUE;51.5052;-0.0864;;
Liverpool Street;1.0;Central,Circle,Hammersmith & City,Metropolitan;TRUE;51.5178;-0.0823;;
Maida Vale;2.0;Bakerloo;FALSE;51.53;-0.1854;;
Loughton;6.0;Central;FALSE;51.6412;0.0558;;
Croxley;7.0;Metropolitan;FALSE;51.647;-0.4412;;
Warren Street;1.0;Northern,Victoria;FALSE;51.5247;-0.1384;;
South Ealing;3.0;Piccadilly;FALSE;51.5011;-0.3072;;
South Quay;2.0;DLR;FALSE;51.5007;-0.0191;;
South Ruislip;5.0;Central;TRUE;51.5569;-0.3988;;
Waterloo;1.0;Bakerloo,Jubilee,Northern,Waterloo & City;TRUE;51.5036;-0.1143;;
Queensbury;4.0;Jubilee;FALSE;51.5942;-0.2861;;
South Harrow;5.0;Piccadilly;FALSE;51.5646;-0.3521;;
South Kensington;1.0;Circle,District,Piccadilly;FALSE;51.4941;-0.1738;;
South Kenton;4.0;Bakerloo,Overground;FALSE;51.5701;-0.3081;;
Snaresbrook;4.0;Central;FALSE;51.5808;0.0216;;
Southfields;3.0;District;FALSE;51.4454;-0.2066;;
Southwark;1.0;Jubilee;FALSE;51.504;-0.1052;;
Seven Sisters;3.0;Victoria;TRUE;51.5822;-0.0749;;
Watford;7.0;Metropolitan;FALSE;51.6573;-0.4177;;
Chancery Lane;1.0;Central;FALSE;51.5185;-0.1111;;
Charing Cross;1.0;Bakerloo,Northern;TRUE;51.508;-0.1247;;
Chalfont & Latimer;8.0;Metropolitan;TRUE;51.6679;-0.561;;
Chalk Farm;2.0;Northern;FALSE;51.5441;-0.1538;;
Cannon Street;1.0;Circle,District;TRUE;51.5113;-0.0904;;
Canons Park;5.0;Jubilee;FALSE;51.6078;-0.2947;;
